Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
SBK 2011: FIM Superbike World Championship,PS3,2011.0,Racing,Black Bean Games,0.01,0.09,0.0,0.03,0.13,,,,,,
Disney Infinity,PSV,2013.0,Action,Disney Interactive Studios,0.01,0.0,0.0,0.0,0.02,,,,,,
Jikkyou Powerful Pro Yakyuu 8,PS2,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,,,,,,
Kidou Senshi Gundam UC,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,,,,,,
Persona 2: Eternal Punishment,PSP,2012.0,Role-Playing,Atlus,0.0,0.0,0.05,0.0,0.05,,,,,,
GunGriffon Blaze,PS2,2000.0,Simulation,Swing! Entertainment,0.05,0.04,0.0,0.01,0.11,73.0,16.0,tbd,,Game Arts,T
Castlevania: Curse of Darkness,PS2,2005.0,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,70.0,30.0,7.5,46.0,Konami,M
International Superstar Soccer Deluxe,SNES,1995.0,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16,,,,,,
Monster Jam,X360,2007.0,Racing,Activision,0.18,0.0,0.0,0.02,0.2,43.0,9.0,6.4,5.0,Torus Games,E
WWE '12,Wii,2011.0,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,Yuke's,T
PDC World Championship Darts 2008,DS,,Sports,Unknown,0.01,0.0,0.0,0.0,0.02,,,,,,
TMNT,Wii,2007.0,Action,Ubisoft,0.3,0.03,0.0,0.03,0.36,60.0,17.0,5.9,11.0,Ubisoft Montreal,E10+
NBA Live 16,XOne,2015.0,Sports,Electronic Arts,0.09,0.01,0.0,0.01,0.11,60.0,17.0,5.6,62.0,EA Sports,E
AKB48+Me,3DS,2012.0,Action,Unknown,0.0,0.0,0.11,0.0,0.11,,,,,,
The X-Factor,PS3,2010.0,Misc,Deep Silver,0.0,0.1,0.0,0.03,0.13,,,,,,
Heisei Kyouiku linkai DS,DS,2006.0,Misc,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,,,,,,
Kelly Slater's Pro Surfer,GBA,2002.0,Sports,Activision,0.09,0.03,0.0,0.0,0.13,72.0,4.0,tbd,,HotGen,E
Nickelodeon Dance,X360,2011.0,Misc,Take-Two Interactive,0.08,0.02,0.0,0.01,0.11,,,tbd,,High Voltage Software,E
Viva Pinata: Pocket Paradise,DS,2008.0,Simulation,THQ,0.26,0.23,0.0,0.06,0.55,82.0,34.0,7.1,15.0,Rare Ltd.,E
Mortal Kombat vs. DC Universe,PS3,2008.0,Fighting,Midway Games,1.48,0.28,0.0,0.23,2.0,76.0,44.0,7.1,107.0,Midway,T
Mother 3,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.39,0.01,0.4,,,,,,
Monster Mayhem: Build and Battle,Wii,2009.0,Simulation,Zushi Games,0.02,0.0,0.0,0.0,0.03,,,tbd,,Brain Toys,E10+
The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,,,,,,
Hot Wheels Velocity X,GBA,2002.0,Racing,THQ,0.12,0.04,0.0,0.0,0.16,,,,,,
Winning Post 5,PS2,2001.0,Sports,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,,,,,,
Chuck E. Cheese's Playhouse,DS,2010.0,Misc,UFO Interactive,0.05,0.0,0.0,0.0,0.05,,,tbd,,UFO Interactive,E
The Golden Compass,PS2,2007.0,Action,Sega,0.13,0.0,0.0,0.39,0.52,46.0,10.0,5.2,6.0,Shiny Entertainment,E10+
Dragon Age II,X360,2011.0,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79.0,75.0,4.5,2380.0,BioWare,M
Madden NFL 07,PSP,,Sports,Unknown,0.77,0.03,0.0,0.04,0.83,78.0,18.0,6.6,16.0,EA Tiburon,E
Tetris Attack,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.15,0.0,0.15,,,,,,
Eternal Eyes,PS,1999.0,Role-Playing,Sunsoft,0.08,0.05,0.0,0.01,0.14,,,,,,
Thor: God of Thunder,3DS,2011.0,Action,Sega,0.06,0.03,0.0,0.01,0.1,55.0,10.0,4.2,5.0,Red Fly Studio,T
Sonic Rivals,PSP,2006.0,Racing,Sega,0.73,0.42,0.0,0.27,1.42,64.0,25.0,7.8,38.0,Backbone Entertainment,E
Silent Scope Complete,XB,2004.0,Shooter,Konami Digital Entertainment,0.07,0.02,0.0,0.0,0.1,69.0,25.0,7.4,5.0,Konami,M
JoJo's Bizarre Adventure: Eyes of Heaven,PS3,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,,
Psycho-Pass: Mandatory Happiness,PSV,2016.0,Adventure,Nippon Ichi Software,0.0,0.01,0.01,0.0,0.02,64.0,11.0,7.3,10.0,5pb,T
The Idolmaster: Gravure For You! Vol. 3,PS3,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,
Madden NFL 17,X360,2016.0,Sports,Electronic Arts,0.14,0.02,0.0,0.02,0.17,,,0.7,6.0,EA Sports,E
Gaia Saver Hero Saidai no Sakusen,SNES,1994.0,Role-Playing,Banpresto,0.0,0.0,0.03,0.0,0.03,,,,,,
Dungeons & Dragons: Neverwinter Nights - Complete,PC,2011.0,Misc,Atari,0.01,0.0,0.0,0.0,0.01,,,,,,
FIFA Street 3,X360,2008.0,Sports,Electronic Arts,0.14,0.14,0.0,0.03,0.32,63.0,48.0,6.9,18.0,EA Canada,E
Rugby 15,PS4,2015.0,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11,19.0,5.0,3.4,65.0,HB Studios Multimedia,E
